message,label
"qwertyuiop",ruido
"asdf1234",ruido
"zxcvbnm",ruido
"123456",ruido
"poiuytrewq",ruido
"lskdjf",ruido
"mnbvcxz",ruido
"q1w2e3r4",ruido
"asdf!@#",ruido
"lkjhgfdsa",ruido
"randomtext123",ruido
"oiuytrewq",ruido
"qazwsxedc",ruido
"123qwe",ruido
"abcde12345",ruido
"qwe!@#123",ruido
"zxc123",ruido
"plmoknijb",ruido
"asdfgh123",ruido
"Tengo 38,5 de fiebre y me cuesta respirar",urgencia
Necesito renovar la receta de mi medicación,administrativo
"No puedo acudir a la cita del jueves, ¿pueden cambiarla?",administrativo
Me duele mucho el pecho desde esta mañana,urgencia
"Hola, buen día",ruido
Tengo tos persistente desde hace tres días,síntomas
¿Pueden enviarme el justificante de la baja?,administrativo
Escucho un pitido en el oído desde ayer,síntomas
Se me ha inflamado la pierna de repente,urgencia
¿A qué hora cierran hoy?,ruido
Quiero pedir cita con mi médico de cabecera,administrativo
Me encuentro mareado y con visión borrosa,urgencia
He perdido mi tarjeta sanitaria,administrativo
Tengo dolor de garganta y algo de fiebre,síntomas
Necesito un informe médico para el trabajo,administrativo
"Hay una sangre en las heces, estoy preocupado",urgencia
"Hola, ¿están ahí?",ruido
No me funciona la app para pedir cita,administrativo
Tengo dolor en la espalda baja desde hace semanas,síntomas
Me ha salido un sarpullido extraño en el brazo,síntomas
Se me duerme el brazo y no puedo moverlo bien,urgencia
Necesito cambiar mi dirección registrada,administrativo
Esto es increíble lo que me pasó ayer,ruido
Tengo náuseas y vómitos continuos,síntomas
Quiero saber si ya está lista mi analítica,administrativo
Mi hijo tiene 40 de fiebre y está muy apagado,urgencia
¿Dónde puedo dejar una queja?,administrativo
No entiendo por qué tardan tanto,ruido
Me cuesta tragar y tengo el cuello inflamado,síntomas
Necesito la receta electrónica activada,administrativo
Tengo un dolor muy fuerte en el vientre,urgencia
¿Podrían confirmar mi cita de mañana?,administrativo
Estoy estornudando mucho y tengo congestión,síntomas
Me sangra la nariz y no se detiene,urgencia
"Hola, gracias por su atención",ruido
Me vendieron un seguro y no lo quiero,ruido
Tengo palpitaciones y sudor frío,urgencia
Quiero pedir una copia de mi historial médico,administrativo
Me duele el oído cuando trago,síntomas
¿Pueden anular mi cita de hoy?,administrativo
Necesito un justificante de asistencia,administrativo
Tengo la cara muy hinchada de golpe,urgencia
Tengo la garganta muy irritada,síntomas
Me duele la cabeza desde hace horas,síntomas
¿Quién atiende este número?,ruido
Tengo un fuerte dolor en el costado,urgencia
¿Cómo están?,ruido
Necesito un volante para el especialista,administrativo
Vomito sangre,urgencia
Gracias,ruido
Me duele la cabeza desde hace horas,síntomas
Quiero pedir cita con el médico,administrativo
Me está dando un dolor fuerte en el pecho,urgencia
Tengo un fuerte dolor en el costado,urgencia
¿Pueden activar mi receta electrónica?,administrativo
OK,ruido
Tengo un fuerte dolor en el costado,urgencia
Necesito un volante para el especialista,administrativo
Necesito un volante para el especialista,administrativo
Siento presión en el pecho,síntomas
Gracias,ruido
Gracias,ruido
¿Pueden activar mi receta electrónica?,administrativo
Tengo un dolor punzante en el abdomen,síntomas
Me está dando un dolor fuerte en el pecho,urgencia
Buen día,ruido
Necesito un justificante de asistencia,administrativo
OK,ruido
Mi hijo no reacciona bien,urgencia
Buen día,ruido
Tengo la cara muy hinchada de golpe,urgencia
Quiero pedir cita con el médico,administrativo
¿Me pueden responder?,ruido
Vomito sangre,urgencia
Hola,ruido
Hola,ruido
Necesito un volante para el especialista,administrativo
Me duele la cabeza desde hace horas,síntomas
Siento presión en el pecho,síntomas
Quiero pedir cita con el médico,administrativo
Estoy mareado y a punto de desmayarme,urgencia
Me duele la cabeza desde hace horas,síntomas
¿Quién atiende este número?,ruido
¿Me pueden responder?,ruido
¿Pueden activar mi receta electrónica?,administrativo
Quiero pedir cita con el médico,administrativo
Estoy mareado y a punto de desmayarme,urgencia
Tengo fiebre y malestar general,síntomas
Estoy muy cansado y sin energía,síntomas
Me duele la cabeza desde hace horas,síntomas
Quiero pedir cita con el médico,administrativo
Me cuesta mucho respirar,urgencia
¿Pueden enviarme mis resultados?,administrativo
¿Quién atiende este número?,ruido
Tengo un dolor punzante en el abdomen,síntomas
Tengo la cara muy hinchada de golpe,urgencia
Vomito sangre,urgencia
Quiero pedir cita con el médico,administrativo
Tengo fiebre y malestar general,síntomas
Tengo fiebre y malestar general,síntomas
Tengo un fuerte dolor en el costado,urgencia
Me está dando un dolor fuerte en el pecho,urgencia
Necesito un justificante de asistencia,administrativo
Necesito renovar mi baja laboral,administrativo
Me cuesta mucho respirar,urgencia
¿Me pueden responder?,ruido
¿Pueden enviarme mis resultados?,administrativo
¿Cómo están?,ruido
¿Pueden activar mi receta electrónica?,administrativo
Necesito renovar mi baja laboral,administrativo
¿Cómo están?,ruido
¿Quién atiende este número?,ruido
Me está dando un dolor fuerte en el pecho,urgencia
Gracias,ruido
